Rank,model_id,Model,Category,Score,Avg Rank,Improvability,# Targets,Bal. Acc.,MCC,Macro-F1,F1,ROC-AUC,Elo
1,REALTABPFN-V2,TabPFN v2,Tabular Foundation,0.9986,1.1,0.1,19,0.8316,0.6794,0.8332,0.8407,0.8957,1463
2,RF,Random Forest,Tree-based,0.8542,2.5,14.6,19,0.7692,0.5557,0.7702,0.7841,0.8389,1000
3,GEMMA,Gemma 4 31B (MLCloud),Gemma,0.7368,2.9,26.3,18,0.7216,0.4634,0.7163,0.73,,894
4,QWEN,Qwen 3.6 35B-A3B (MLCloud),Qwen,0.6332,5.9,36.7,16,0.6879,0.4056,0.6717,0.6903,,455
5,LOCAL-GEMMA-3-27B,Gemma 3 27B (Ollama H100),Gemma,0.6264,6.0,37.4,16,0.6803,0.3979,0.6653,0.687,,429
6,LOCAL-QWEN3-32B-FP8,Qwen3 32B (Ollama H100),Qwen,0.6104,4.6,39.0,19,0.6674,0.3558,0.651,0.6644,,609
7,LOCAL-MISTRAL-SMALL-3.1-24B-FP16,Mistral Small 3.1 24B FP16 (Ollama H100),Mistral,0.5958,5.3,40.4,19,0.6654,0.3531,0.643,0.6573,,497
8,LOCAL-QWEN3-30B-A3B,Qwen3 30B-A3B (Ollama H100),Qwen,0.4972,8.5,50.3,16,0.6185,0.2782,0.5993,0.6246,,88
9,LOCAL-QWEN3-8B,Qwen3 8B (Ollama H100),Qwen,0.4193,8.2,58.1,19,0.6019,0.2493,0.5559,0.5732,,64
10,LOCAL-MISTRAL-7B-FP16,Mistral 7B v0.3 FP16 (Ollama H100),Mistral,0.4044,9.7,59.6,14,0.5949,0.227,0.5603,0.6019,,-99
11,LOCAL-LLAMA-3.1-8B,Llama 3.1 8B (Ollama H100),Llama,0.2719,9.2,72.8,17,0.5368,0.1193,0.4648,0.4878,,-101
12,DUMMY,Random,Baseline,0.0001,11.0,100.0,19,0.4737,0.0,0.3217,0.3493,0.5,-705
